,Date,# of Comments
0,02/01/2021 23:00,338
1,02/01/2021 22:00,410
2,02/01/2021 21:00,448
3,02/01/2021 20:00,533
4,02/01/2021 19:00,664
5,02/01/2021 18:00,882
6,02/01/2021 17:00,1080
7,02/01/2021 16:00,1159
8,02/01/2021 15:00,1183
9,02/01/2021 14:00,1177
10,02/01/2021 13:00,1188
11,02/01/2021 12:00,1182
12,02/01/2021 11:00,1200
13,02/01/2021 10:00,1200
14,02/01/2021 09:00,1193
15,02/01/2021 08:00,993
16,02/01/2021 07:00,724
17,02/01/2021 06:00,447
18,02/01/2021 05:00,349
19,02/01/2021 04:00,348
20,02/01/2021 03:00,346
21,02/01/2021 02:00,442
22,02/01/2021 01:00,408
23,02/01/2021 00:00,382
24,01/31/2021 23:00,442
25,01/31/2021 22:00,528
26,01/31/2021 21:00,516
27,01/31/2021 20:00,562
28,01/31/2021 19:00,626
29,01/31/2021 18:00,688
30,01/31/2021 17:00,631
31,01/31/2021 16:00,703
32,01/31/2021 15:00,479
33,01/31/2021 14:00,446
34,01/31/2021 13:00,533
35,01/31/2021 12:00,509
36,01/31/2021 11:00,456
37,01/31/2021 10:00,387
38,01/31/2021 09:00,344
39,01/31/2021 08:00,276
40,01/31/2021 07:00,172
41,01/31/2021 06:00,126
42,01/31/2021 05:00,83
43,01/31/2021 04:00,106
44,01/31/2021 03:00,71
45,01/31/2021 02:00,122
46,01/31/2021 01:00,118
47,01/31/2021 00:00,376
48,01/30/2021 23:00,363
49,01/30/2021 22:00,411
50,01/30/2021 21:00,450
51,01/30/2021 20:00,428
52,01/30/2021 19:00,413
53,01/30/2021 18:00,428
54,01/30/2021 17:00,487
55,01/30/2021 16:00,455
56,01/30/2021 15:00,461
57,01/30/2021 14:00,443
58,01/30/2021 13:00,421
59,01/30/2021 12:00,407
60,01/30/2021 11:00,418
61,01/30/2021 10:00,259
62,01/30/2021 09:00,247
63,01/30/2021 08:00,181
64,01/30/2021 07:00,215
65,01/30/2021 06:00,184
66,01/30/2021 05:00,227
67,01/30/2021 04:00,234
68,01/30/2021 03:00,224
69,01/30/2021 02:00,238
70,01/30/2021 01:00,295
71,01/30/2021 00:00,260
72,01/29/2021 23:00,303
73,01/29/2021 22:00,370
74,01/29/2021 21:00,550
75,01/29/2021 20:00,482
76,01/29/2021 19:00,495
77,01/29/2021 18:00,612
78,01/29/2021 17:00,554
79,01/29/2021 16:00,851
80,01/29/2021 15:00,1200
81,01/29/2021 14:00,1200
82,01/29/2021 13:00,1200
83,01/29/2021 12:00,1200
84,01/29/2021 11:00,1200
85,01/29/2021 10:00,1200
86,01/29/2021 09:00,1200
87,01/29/2021 08:00,1017
88,01/29/2021 07:00,559
89,01/29/2021 06:00,561
90,01/29/2021 05:00,633
91,01/29/2021 04:00,645
92,01/29/2021 03:00,615
93,01/29/2021 02:00,717
94,01/29/2021 01:00,866
95,01/29/2021 00:00,986
96,01/28/2021 23:00,922
97,01/28/2021 22:00,1000
98,01/28/2021 21:00,890
99,01/28/2021 20:00,923
100,01/28/2021 19:00,1114
101,01/28/2021 18:00,1007
102,01/28/2021 17:00,1116
103,01/28/2021 16:00,1200
104,01/28/2021 15:00,1200
105,01/28/2021 14:00,1200
106,01/28/2021 13:00,1187
107,01/28/2021 12:00,1200
108,01/28/2021 11:00,1200
109,01/28/2021 10:00,1200
110,01/28/2021 09:00,1200
111,01/28/2021 08:00,1183
112,01/28/2021 07:00,1006
113,01/28/2021 06:00,860
114,01/28/2021 05:00,734
115,01/28/2021 04:00,641
116,01/28/2021 03:00,728
117,01/28/2021 02:00,740
118,01/28/2021 01:00,798
119,01/28/2021 00:00,894
120,01/27/2021 23:00,869
121,01/27/2021 22:00,763
122,01/27/2021 21:00,1042
123,01/27/2021 20:00,1197
124,01/27/2021 19:00,334
125,01/27/2021 18:00,634
126,01/27/2021 17:00,1196
127,01/27/2021 16:00,1200
128,01/27/2021 15:00,1155
129,01/27/2021 14:00,1199
130,01/27/2021 13:00,615
131,01/27/2021 12:00,1200
132,01/27/2021 11:00,1128
133,01/27/2021 10:00,984
134,01/27/2021 09:00,43
135,01/24/2021 07:00,6
136,01/24/2021 06:00,13
137,01/24/2021 05:00,11
138,01/24/2021 04:00,20
139,01/24/2021 03:00,30
140,01/24/2021 02:00,74
141,01/24/2021 01:00,74
142,01/24/2021 00:00,67
143,01/23/2021 23:00,102
144,01/23/2021 22:00,94
145,01/23/2021 21:00,118
146,01/23/2021 20:00,109
147,01/23/2021 19:00,132
148,01/23/2021 18:00,142
149,01/23/2021 17:00,91
150,01/23/2021 16:00,119
151,01/23/2021 15:00,139
152,01/23/2021 14:00,93
153,01/23/2021 13:00,109
154,01/23/2021 12:00,90
155,01/23/2021 11:00,102
156,01/23/2021 10:00,58
157,01/23/2021 09:00,116
158,01/23/2021 08:00,88
159,01/23/2021 07:00,64
160,01/23/2021 06:00,33
161,01/23/2021 05:00,86
162,01/23/2021 04:00,64
163,01/23/2021 03:00,60
164,01/23/2021 02:00,80
165,01/23/2021 01:00,131
166,01/23/2021 00:00,177
167,01/22/2021 23:00,180
168,01/22/2021 22:00,173
169,01/22/2021 21:00,173
170,01/22/2021 20:00,79
171,01/22/2021 19:00,90
172,01/22/2021 18:00,139
173,01/22/2021 17:00,119
174,01/22/2021 16:00,246
175,01/22/2021 15:00,151
176,01/22/2021 14:00,279
177,01/22/2021 13:00,507
178,01/22/2021 12:00,297
179,01/22/2021 11:00,231
180,01/22/2021 10:00,192
181,01/22/2021 09:00,177
182,01/22/2021 08:00,120
183,01/22/2021 07:00,122
184,01/22/2021 06:00,116
185,01/22/2021 05:00,81
186,01/22/2021 04:00,86
187,01/22/2021 03:00,28
188,01/22/2021 02:00,87
189,01/22/2021 01:00,165
190,01/21/2021 23:00,49
191,01/21/2021 22:00,35
192,01/21/2021 21:00,41
193,01/21/2021 20:00,68
194,01/21/2021 19:00,188
195,01/21/2021 18:00,132
196,01/21/2021 17:00,67
197,01/21/2021 16:00,102
198,01/21/2021 15:00,259
199,01/21/2021 14:00,167
200,01/21/2021 13:00,241
201,01/21/2021 12:00,90
202,01/21/2021 11:00,206
203,01/21/2021 10:00,61
204,01/21/2021 09:00,71
205,01/21/2021 08:00,59
206,01/21/2021 07:00,50
207,01/21/2021 06:00,30
208,01/21/2021 05:00,25
209,01/21/2021 04:00,15
210,01/21/2021 03:00,31
211,01/21/2021 02:00,24
212,01/21/2021 01:00,27
213,01/21/2021 00:00,48
214,01/20/2021 23:00,38
215,01/20/2021 22:00,103
216,01/20/2021 21:00,73
217,01/20/2021 20:00,64
218,01/20/2021 19:00,97
219,01/20/2021 18:00,73
220,01/20/2021 17:00,44
221,01/20/2021 16:00,61
222,01/20/2021 15:00,220
223,01/20/2021 14:00,145
224,01/20/2021 13:00,40
225,01/20/2021 12:00,131
226,01/20/2021 11:00,202
227,01/20/2021 10:00,135
228,01/20/2021 09:00,70
229,01/20/2021 08:00,85
230,01/20/2021 07:00,63
231,01/20/2021 06:00,65
232,01/20/2021 05:00,34
233,01/20/2021 04:00,36
234,01/20/2021 03:00,15
235,01/20/2021 02:00,34
236,01/20/2021 01:00,38
237,01/20/2021 00:00,47
238,01/19/2021 23:00,26
239,01/19/2021 22:00,42
240,01/19/2021 21:00,92
241,01/19/2021 20:00,44
242,01/19/2021 19:00,100
243,01/19/2021 18:00,107
244,01/19/2021 17:00,132
245,01/19/2021 16:00,208
246,01/19/2021 15:00,250
247,01/19/2021 14:00,230
248,01/19/2021 13:00,285
249,01/19/2021 12:00,344
250,01/19/2021 11:00,340
251,01/19/2021 10:00,401
252,01/19/2021 09:00,210
253,01/19/2021 08:00,138
254,01/19/2021 07:00,107
255,01/19/2021 06:00,125
256,01/19/2021 05:00,74
257,01/19/2021 04:00,130
258,01/19/2021 03:00,64
259,01/19/2021 02:00,81
260,01/19/2021 01:00,70
261,01/19/2021 00:00,73
262,01/18/2021 23:00,78
263,01/18/2021 22:00,71
264,01/18/2021 21:00,96
265,01/18/2021 20:00,73
266,01/18/2021 19:00,102
267,01/18/2021 18:00,119
268,01/18/2021 17:00,112
269,01/18/2021 16:00,161
270,01/18/2021 15:00,109
271,01/18/2021 14:00,108
272,01/18/2021 13:00,105
273,01/18/2021 12:00,57
274,01/18/2021 11:00,81
275,01/18/2021 10:00,68
276,01/18/2021 09:00,91
277,01/18/2021 08:00,56
278,01/18/2021 07:00,35
279,01/18/2021 06:00,33
280,01/18/2021 05:00,32
281,01/18/2021 04:00,27
282,01/18/2021 03:00,66
283,01/18/2021 02:00,80
284,01/18/2021 01:00,40
285,01/18/2021 00:00,23
286,01/17/2021 23:00,39
287,01/17/2021 22:00,29
288,01/17/2021 21:00,37
289,01/17/2021 20:00,35
290,01/17/2021 19:00,46
291,01/17/2021 18:00,35
292,01/17/2021 17:00,53
293,01/17/2021 16:00,72
294,01/17/2021 15:00,62
295,01/17/2021 14:00,73
296,01/17/2021 13:00,46
297,01/17/2021 12:00,37
298,01/17/2021 11:00,29
299,01/17/2021 10:00,36
300,01/17/2021 09:00,22
301,01/17/2021 08:00,14
302,01/17/2021 07:00,21
303,01/17/2021 06:00,19
304,01/17/2021 05:00,27
305,01/17/2021 04:00,22
306,01/17/2021 03:00,22
307,01/17/2021 02:00,15
308,01/17/2021 01:00,33
309,01/17/2021 00:00,29
310,01/16/2021 23:00,31
311,01/16/2021 22:00,31
312,01/16/2021 21:00,44
313,01/16/2021 20:00,30
314,01/16/2021 19:00,41
315,01/16/2021 18:00,52
316,01/16/2021 17:00,51
317,01/16/2021 16:00,52
318,01/16/2021 15:00,67
319,01/16/2021 14:00,49
320,01/16/2021 13:00,42
321,01/16/2021 12:00,54
322,01/16/2021 11:00,51
323,01/16/2021 10:00,46
324,01/16/2021 09:00,60
325,01/16/2021 08:00,14
326,01/16/2021 07:00,16
327,01/16/2021 06:00,21
328,01/16/2021 05:00,43
329,01/16/2021 04:00,22
330,01/16/2021 03:00,36
331,01/16/2021 02:00,41
332,01/16/2021 01:00,45
333,01/16/2021 00:00,42
334,01/15/2021 23:00,66
335,01/15/2021 22:00,72
336,01/15/2021 21:00,82
337,01/15/2021 20:00,123
338,01/15/2021 19:00,89
339,01/15/2021 18:00,129
340,01/15/2021 17:00,159
341,01/15/2021 16:00,263
342,01/15/2021 15:00,389
343,01/15/2021 14:00,593
344,01/15/2021 13:00,342
345,01/15/2021 12:00,546
346,01/15/2021 11:00,571
347,01/15/2021 10:00,819
348,01/15/2021 09:00,849
349,01/15/2021 08:00,488
350,01/15/2021 07:00,312
351,01/15/2021 06:00,212
352,01/15/2021 05:00,77
353,01/15/2021 04:00,132
354,01/15/2021 03:00,102
355,01/15/2021 02:00,108
356,01/15/2021 01:00,114
357,01/15/2021 00:00,90
358,01/14/2021 23:00,145
359,01/14/2021 22:00,135
360,01/14/2021 21:00,164
361,01/14/2021 20:00,166
362,01/14/2021 19:00,165
363,01/14/2021 18:00,281
364,01/14/2021 17:00,415
365,01/14/2021 16:00,342
366,01/14/2021 15:00,563
367,01/14/2021 14:00,429
368,01/14/2021 13:00,553
369,01/14/2021 12:00,675
370,01/14/2021 11:00,394
371,01/14/2021 10:00,472
372,01/14/2021 09:00,554
373,01/14/2021 08:00,332
374,01/14/2021 07:00,264
375,01/14/2021 06:00,157
376,01/14/2021 05:00,156
377,01/14/2021 04:00,146
378,01/14/2021 03:00,77
379,01/14/2021 02:00,89
380,01/14/2021 01:00,51
381,01/14/2021 00:00,69
382,01/13/2021 23:00,93
383,01/13/2021 22:00,106
384,01/13/2021 21:00,96
385,01/13/2021 20:00,117
386,01/13/2021 19:00,116
387,01/13/2021 18:00,162
388,01/13/2021 17:00,193
389,01/13/2021 16:00,309
390,01/13/2021 15:00,347
391,01/13/2021 14:00,263
392,01/13/2021 13:00,368
393,01/13/2021 12:00,565
394,01/13/2021 11:00,697
395,01/13/2021 10:00,744
396,01/13/2021 09:00,193
397,01/13/2021 08:00,19
398,01/13/2021 07:00,30
399,01/13/2021 06:00,21
400,01/13/2021 05:00,7
401,01/13/2021 04:00,7
402,01/13/2021 03:00,7
403,01/13/2021 02:00,11
404,01/13/2021 01:00,1
405,01/13/2021 00:00,5
406,01/12/2021 23:00,7
407,01/12/2021 22:00,8
408,01/12/2021 21:00,13
409,01/12/2021 20:00,14
410,01/12/2021 19:00,10
411,01/12/2021 18:00,15
412,01/12/2021 17:00,14
413,01/12/2021 16:00,26
414,01/12/2021 15:00,12
415,01/12/2021 14:00,14
416,01/12/2021 13:00,20
417,01/12/2021 12:00,8
418,01/12/2021 11:00,6
419,01/12/2021 10:00,14
420,01/12/2021 09:00,19
421,01/12/2021 08:00,19
422,01/12/2021 07:00,8
423,01/12/2021 06:00,7
424,01/12/2021 05:00,4
425,01/12/2021 04:00,2
426,01/12/2021 03:00,3
427,01/12/2021 02:00,9
428,01/12/2021 01:00,10
429,01/12/2021 00:00,10
430,01/11/2021 23:00,8
431,01/11/2021 22:00,9
432,01/11/2021 21:00,12
433,01/11/2021 20:00,6
434,01/11/2021 19:00,14
