time,open,high,low,close,volume
9/11/20 20:00,6.12,6.12,6.09,6.12,4003
9/11/20 19:00,6.12,6.15,6.11,6.11,4064
9/11/20 18:00,6.1002,6.13,6.1,6.12,3636
9/11/20 17:00,6.09,6.11,6.08,6.1,9554
9/11/20 16:00,6.16,6.16,6.04,6.0925,754867
9/11/20 15:00,6.095,6.1899,6.095,6.16,279708
9/11/20 14:00,6.08,6.13,6.02,6.1,361664
9/11/20 13:00,6.17,6.18,6.01,6.08,536919
9/11/20 12:00,6.17,6.33,6.16,6.18,884427
9/11/20 11:00,6.08,6.27,6.06,6.17,954671
9/11/20 10:00,6.42,6.42,5.87,6.08,2087545
9/11/20 9:00,6.22,6.37,6.22,6.3002,16033
9/11/20 8:00,6.29,6.3,6.26,6.26,4276
9/11/20 5:00,6.26,6.26,6.26,6.26,562
9/10/20 20:00,6.25,6.25,6.2,6.25,1400
9/10/20 19:00,6.14,6.25,6.11,6.25,12955
9/10/20 18:00,6.2,6.23,6.14,6.16,11575
9/10/20 17:00,6.24,6.25,6.21,6.25,279107
9/10/20 16:00,6.3003,6.3282,6.19,6.2282,2222375
9/10/20 15:00,6.4,6.49,6.27,6.31,1187871
9/10/20 14:00,6.4999,6.55,6.34,6.4,1274487
9/10/20 13:00,6.64,6.6701,6.49,6.5,863808
9/10/20 12:00,6.775,6.78,6.57,6.6416,966467
9/10/20 11:00,6.475,6.87,6.335,6.7805,3938319
9/10/20 10:00,6.71,6.95,6.23,6.475,4604881
9/10/20 9:00,6.5501,6.81,6.385,6.71,151594
9/10/20 8:00,6.48,6.69,6.38,6.59,93588
9/10/20 7:00,6.21,6.5,6.21,6.5,9787
9/10/20 6:00,6.17,6.35,6.17,6.35,2700
9/10/20 5:00,6.65,6.66,6.15,6.2,16627
9/9/20 20:00,6.55,6.6,6.47,6.58,63837
9/9/20 19:00,6.54,6.63,6.34,6.55,168785
9/9/20 18:00,6.5,6.88,6.35,6.56,322226
9/9/20 17:00,7.47,7.72,6.3,6.49,1675485
9/9/20 16:00,7.37,7.47,7.31,7.35,1876079
9/9/20 15:00,7.43,7.46,7.35,7.375,659132
9/9/20 14:00,7.5149,7.55,7.41,7.425,588736
9/9/20 13:00,7.4202,7.59,7.41,7.515,609708
9/9/20 12:00,7.54,7.6467,7.37,7.42,914649
9/9/20 11:00,7.6,7.6719,7.38,7.53,975232
9/9/20 10:00,7.86,7.99,7.43,7.597,1043463
9/9/20 9:00,7.8999,8.0494,7.85,7.94,40954
9/9/20 8:00,7.85,8,7.85,8,4752
9/9/20 5:00,7.94,7.94,7.69,7.69,450
9/8/20 20:00,7.85,7.85,7.79,7.79,200
9/8/20 19:00,7.9,7.99,7.9,7.9,4617
9/8/20 18:00,7.8002,7.99,7.6,7.9,73587
9/8/20 17:00,7.7,7.88,7.7,7.84,62379
9/8/20 16:00,7.84,7.89,7.67,7.69,1307103
9/8/20 15:00,7.915,7.96,7.68,7.845,1360726
9/8/20 14:00,8.125,8.1282,7.905,7.915,883292
9/8/20 13:00,8.1361,8.18,7.9801,8.1238,870893
9/8/20 12:00,8.15,8.28,7.83,8.1314,1487775
9/8/20 11:00,7.96,8.22,7.955,8.1581,2298134
9/8/20 10:00,7.6,7.97,7.48,7.95,1383129
9/8/20 9:00,7.5999,7.6,7.45,7.59,16494
9/8/20 8:00,7.62,7.64,7.6,7.6,450
9/8/20 7:00,7.55,7.55,7.2,7.45,6506
9/4/20 20:00,7.65,7.65,7.65,7.65,780
9/4/20 19:00,7.66,7.66,7.61,7.61,1100
9/4/20 18:00,7.6102,7.66,7.61,7.61,1990
9/4/20 17:00,7.66,7.67,7.6,7.65,15080
9/4/20 16:00,7.65,7.7298,7.59,7.64,1107844
9/4/20 15:00,7.54,7.73,7.52,7.65,1005885
9/4/20 14:00,7.52,7.57,7.42,7.545,602167
9/4/20 13:00,7.645,7.79,7.5,7.53,1084846
9/4/20 12:00,7.5,7.67,7.37,7.64,761327
9/4/20 11:00,7.6,7.76,7.17,7.5023,1940854
9/4/20 10:00,7.7,7.92,7.57,7.6,980263
9/4/20 9:00,7.8201,7.8202,7.5,7.71,28565
9/4/20 8:00,7.82,7.86,7.52,7.6,22261
9/4/20 7:00,7.82,7.82,7.82,7.82,500
9/4/20 6:00,7.82,7.82,7.82,7.82,1198
9/4/20 5:00,7.34,7.61,7.16,7.61,5101
9/3/20 20:00,7.57,7.57,7.21,7.21,10018
9/3/20 19:00,7.55,7.6,7.43,7.57,7429
9/3/20 18:00,7.9399,7.9399,7.65,7.75,18747
9/3/20 17:00,7.82,7.98,7.73,7.7502,57783
9/3/20 16:00,7.45,7.86,7.35,7.81,2553686
9/3/20 15:00,7.43,7.52,7.38,7.455,681808
9/3/20 14:00,7.42,7.45,7.24,7.43,1432479
9/3/20 13:00,7.38,7.6,7.35,7.415,746778
9/3/20 12:00,7.64,7.64,7.31,7.38,1708029
9/3/20 11:00,8.12,8.45,7.41,7.64,4243691
9/3/20 10:00,7.8202,8.15,7.71,8.12,2590330
9/3/20 9:00,8.3499,8.5,7.81,7.8202,125307
9/3/20 8:00,8.6,8.6,7.91,7.91,23017
9/3/20 7:00,8.63,8.65,8.6,8.63,3151
9/3/20 6:00,8.41,8.55,8.4,8.55,3991
