time,open,high,low,close,volume
02/01/2021 20:00,186.65,198.99,186.65,189.52,398808
02/01/2021 19:00,178,190,177,187.75,495863
02/01/2021 18:00,207.96,208.79,173,178,1577886
02/01/2021 17:00,225.46,231,206,207.55,626967
02/01/2021 16:00,240.1096,240.1096,214.66,227,4599470
02/01/2021 15:00,250,251,235.51,240.1828,2065638
02/01/2021 14:00,248.4599,253.8899,230,250,2997396
02/01/2021 13:00,259,262.5999,241,248,2502651
02/01/2021 12:00,236.775,280,232.9001,259.2,4810622
02/01/2021 11:00,270,284,212,237.39,9174759
02/01/2021 10:00,317.7,322,252,269.9999,6272754
02/01/2021 9:00,327,333,288.0501,317.8,689532
02/01/2021 8:00,327.42,331.9,288.07,323.35,921397
02/01/2021 7:00,338,345,326.06,328.18,88718
02/01/2021 6:00,347,356.36,326.05,337,113164
02/01/2021 5:00,356.1,384.89,321.75,348,286953
01/29/2021 20:00,316,321.1,312,312.01,171440
01/29/2021 19:00,306.11,320,303.0201,315.72,168467
01/29/2021 18:00,322.3,350,301.21,306,271764
01/29/2021 17:00,327.67,330.9,293.0001,322.02,1112924
01/29/2021 16:00,284.79,335,283.81,328.24,8550072
01/29/2021 15:00,275.95,306.95,250,283.5608,6658776
01/29/2021 14:00,328.1182,336,265.4801,276.1098,4781288
01/29/2021 13:00,339.8802,377,312.44,329.3264,5441582
01/29/2021 12:00,335.5999,344.99,312.04,340.1656,3975763
01/29/2021 11:00,317.7093,347,291,334.62,7499078
01/29/2021 10:00,363.01,413.98,291.57,317.37,8581801
01/29/2021 9:00,347.07,392.01,312.0098,362.79,1386429
01/29/2021 8:00,395,399.98,311,346.49,1305548
01/29/2021 7:00,385,400,360,395.01,151017
01/29/2021 6:00,420,420,380,389.05,142488
01/29/2021 5:00,360,470,355.98,425.94,459268
01/28/2021 20:00,347,355.9,305.99,311.99,894387
01/28/2021 19:00,280.33,348.86,280.33,347.01,1106541
01/28/2021 18:00,257,509,255,281.85,418746
01/28/2021 17:00,197.44,282.92,193.6,257,1543357
01/28/2021 16:00,246.1359,261.9899,197.44,197.44,5687714
01/28/2021 15:00,242.4305,265,215,247.17,4743507
01/28/2021 14:00,240.9471,267,205.4201,241.5301,5130891
01/28/2021 13:00,255.99,324,230.01,239.6656,6307940
01/28/2021 12:00,265,282.55,112.25,255.7614,10814643
01/28/2021 11:00,469,483,264.01,264.01,7495146
01/28/2021 10:00,340.73,509,249.73,468.49,9056569
01/28/2021 9:00,459,489.12,338,341,1960172
01/28/2021 8:00,447.01,508.83,421.7,459,1957560
01/28/2021 7:00,456.4,513.12,410,445,851313
01/28/2021 6:00,333.11,457.89,333,456,711496
01/28/2021 5:00,311.3,360,301,335,216927
01/27/2021 20:00,248.99,303,217,292,1171816
01/27/2021 19:00,319,319.9,220,248.8,528090
01/27/2021 18:00,327.36,347.51,293,319.85,637148
01/27/2021 17:00,347.51,373.02,305,327.26,1151987
01/27/2021 16:00,318.01,353,315.4054,345,9389100
01/27/2021 15:00,326.07,337.89,290.01,319.6006,7132382
01/27/2021 14:00,341.0407,347.16,303.77,326.59,6783598
01/27/2021 13:00,312.61,350,280,342.172,10028847
01/27/2021 12:00,371.182,380,312.61,312.61,14642683
