time,open,high,low,close,volume,Close - Open (Round to 2deci),High - Low (Round to 2deci)
2/2/2021 20:00,90,90.5,85,85.2,288108,-4.8,5.5
2/2/2021 19:00,92,94,88,90,232127,-2,6
2/2/2021 18:00,88.82,96,86.01,92,476352,3.18,9.99
2/2/2021 17:00,90.76,93.89,85.33,88.78,843580,-1.98,8.56
2/2/2021 16:00,99.8561,101.9599,88,90.47,5582379,-9.39,13.96
2/2/2021 15:00,103.6001,110.5499,91,99.9,6042536,-3.7,19.55
2/2/2021 14:00,118.2996,118.75,101.01,104.3724,4486108,-13.93,17.74
2/2/2021 13:00,110.05,127.98,105.17,117.95,7738481,7.9,22.81
2/2/2021 12:00,91.0701,154.3999,90,114.85,15756996,23.78,64.4
2/2/2021 11:00,114.8882,125,74.2201,91.5,19988224,-23.39,50.78
2/2/2021 10:00,127.5,162,101.3,115,13083953,-12.5,60.7
2/2/2021 9:00,139,161,126,127.5,1956246,-11.5,35
2/2/2021 8:00,158.24,162.65,137.01,138.7,1521962,-19.54,25.64
2/2/2021 7:00,174.01,175.21,153.6,158.49,179575,-15.52,21.61
2/2/2021 6:00,171.7,176.39,170,174.5,79576,2.8,6.39
2/2/2021 5:00,175.3,178.31,160,171,246548,-4.3,18.31
2/1/2021 20:00,186.65,198.99,186.65,189.52,398808,2.87,12.34
2/1/2021 19:00,178,190,177,187.75,495863,9.75,13
2/1/2021 18:00,207.96,208.79,173,178,1577886,-29.96,35.79
2/1/2021 17:00,225.46,231,206,207.55,626967,-17.91,25
2/1/2021 16:00,240.1096,240.1096,214.66,227,4599470,-13.11,25.45
2/1/2021 15:00,250,251,235.51,240.1828,2065638,-9.82,15.49
2/1/2021 14:00,248.4599,253.8899,230,250,2997396,1.54,23.89
2/1/2021 13:00,259,262.5999,241,248,2502651,-11,21.6
2/1/2021 12:00,236.775,280,232.9001,259.2,4810622,22.43,47.1
2/1/2021 11:00,270,284,212,237.39,9174759,-32.61,72
2/1/2021 10:00,317.7,322,252,269.9999,6272754,-47.7,70
2/1/2021 9:00,327,333,288.0501,317.8,689532,-9.2,44.95
2/1/2021 8:00,327.42,331.9,288.07,323.35,921397,-4.07,43.83
2/1/2021 7:00,338,345,326.06,328.18,88718,-9.82,18.94
2/1/2021 6:00,347,356.36,326.05,337,113164,-10,30.31
2/1/2021 5:00,356.1,384.89,321.75,348,286953,-8.1,63.14
1/29/2021 20:00,316,321.1,312,312.01,171440,-3.99,9.1
1/29/2021 19:00,306.11,320,303.0201,315.72,168467,9.61,16.98
1/29/2021 18:00,322.3,350,301.21,306,271764,-16.3,48.79
1/29/2021 17:00,327.67,330.9,293.0001,322.02,1112924,-5.65,37.9
1/29/2021 16:00,284.79,335,283.81,328.24,8550072,43.45,51.19
1/29/2021 15:00,275.95,306.95,250,283.5608,6658776,7.61,56.95
1/29/2021 14:00,328.1182,336,265.4801,276.1098,4781288,-52.01,70.52
1/29/2021 13:00,339.8802,377,312.44,329.3264,5441582,-10.55,64.56
1/29/2021 12:00,335.5999,344.99,312.04,340.1656,3975763,4.57,32.95
1/29/2021 11:00,317.7093,347,291,334.62,7499078,16.91,56
1/29/2021 10:00,363.01,413.98,291.57,317.37,8581801,-45.64,122.41
1/29/2021 9:00,347.07,392.01,312.0098,362.79,1386429,15.72,80
1/29/2021 8:00,395,399.98,311,346.49,1305548,-48.51,88.98
1/29/2021 7:00,385,400,360,395.01,151017,10.01,40
1/29/2021 6:00,420,420,380,389.05,142488,-30.95,40
1/29/2021 5:00,360,470,355.98,425.94,459268,65.94,114.02
1/28/2021 20:00,347,355.9,305.99,311.99,894387,-35.01,49.91
1/28/2021 19:00,280.33,348.86,280.33,347.01,1106541,66.68,68.53
1/28/2021 18:00,257,509,255,281.85,418746,24.85,254
1/28/2021 17:00,197.44,282.92,193.6,257,1543357,59.56,89.32
1/28/2021 16:00,246.1359,261.9899,197.44,197.44,5687714,-48.7,64.55
1/28/2021 15:00,242.4305,265,215,247.17,4743507,4.74,50
1/28/2021 14:00,240.9471,267,205.4201,241.5301,5130891,0.58,61.58
1/28/2021 13:00,255.99,324,230.01,239.6656,6307940,-16.32,93.99
1/28/2021 12:00,265,282.55,112.25,255.7614,10814643,-9.24,170.3
1/28/2021 11:00,469,483,264.01,264.01,7495146,-204.99,218.99
1/28/2021 10:00,340.73,509,249.73,468.49,9056569,127.76,259.27
1/28/2021 9:00,459,489.12,338,341,1960172,-118,151.12
1/28/2021 8:00,447.01,508.83,421.7,459,1957560,11.99,87.13
1/28/2021 7:00,456.4,513.12,410,445,851313,-11.4,103.12
1/28/2021 6:00,333.11,457.89,333,456,711496,122.89,124.89
1/28/2021 5:00,311.3,360,301,335,216927,23.7,59
1/27/2021 20:00,248.99,303,217,292,1171816,43.01,86
1/27/2021 19:00,319,319.9,220,248.8,528090,-70.2,99.9
1/27/2021 18:00,327.36,347.51,293,319.85,637148,-7.51,54.51
1/27/2021 17:00,347.51,373.02,305,327.26,1151987,-20.25,68.02
1/27/2021 16:00,318.01,353,315.4054,345,9389100,26.99,37.59
1/27/2021 15:00,326.07,337.89,290.01,319.6006,7132382,-6.47,47.88
1/27/2021 14:00,341.0407,347.16,303.77,326.59,6783598,-14.45,43.39
