time,open,high,low,close,volume
02/08/2021 20:00,59.79,59.8,58.9,59.5,59342
02/08/2021 19:00,59.59,59.8,59.35,59.78,48284
02/08/2021 18:00,59.5,59.7,59.35,59.6,49595
02/08/2021 17:00,60,60,58.56,59.59,125655
02/08/2021 16:00,58.88,60.5,58.22,59.9599,2398342
02/08/2021 15:00,59.68,59.76,58.3,58.8001,1732289
02/08/2021 14:00,60.15,70.89,59.25,59.6623,2049682
02/08/2021 13:00,59.6273,60.75,58.68,60.15,2303742
02/08/2021 12:00,60.745,61.41,58.02,59.65,2756141
02/08/2021 11:00,64.61,70.6,58.27,60.75,6644364
02/08/2021 10:00,69.66,73.5,63.3512,64.65,6416151
02/08/2021 9:00,69.39,73,67,69.55,510176
02/08/2021 8:00,70.5,72.99,68.62,69.48,487428
02/08/2021 7:00,70.94,75.8,70.3,71.45,114092
02/08/2021 6:00,69.2,72.4,69.2,71,62237
02/08/2021 5:00,68.1,72.3,65.16,69,101916
02/05/2021 20:00,67.2,68,66.46,66.46,219967
02/05/2021 19:00,69.56,72,66.5,67.2,446454
02/05/2021 18:00,64.68,70.47,64.53,69.51,474841
02/05/2021 17:00,64.2,66.49,62,64.87,661446
02/05/2021 16:00,60.83,66.47,59,63.7601,6391620
02/05/2021 15:00,61,62.78,58.85,60.8201,3669503
02/05/2021 14:00,63.7383,64.5,57.26,61,5333488
02/05/2021 13:00,64.293,65.8899,58.86,63.55,6575072
02/05/2021 12:00,70.8226,74.45,61.54,64.39,11098383
02/05/2021 11:00,82.77,95,65.372,70.8185,25570439
02/05/2021 10:00,57.2,82.77,51.09,82.77,18334553
02/05/2021 9:00,59.09,59.99,54.56,57.16,1263843
02/05/2021 8:00,58,59.2,54.56,59.09,814732
02/05/2021 7:00,59.52,59.52,57.11,58.75,73464
02/05/2021 6:00,60.87,62.6,59,59.33,120105
02/05/2021 5:00,53.5,64.8,53.5,60.87,482352
02/04/2021 20:00,50.2,50.94,49,49.17,330166
02/04/2021 19:00,50.11,51.24,49.4,50.2,324645
02/04/2021 18:00,53.17,53.17,49,50.25,852877
02/04/2021 17:00,53.47,54.39,51.45,53.15,1109263
02/04/2021 16:00,58.2301,58.4999,53.33,53.378,7715884
02/04/2021 15:00,60.17,61.98,58,58.23,4745373
02/04/2021 14:00,64.4999,64.4999,57.2,60.0001,9840614
02/04/2021 13:00,68.7738,71.3,63.5,64.31,6187410
02/04/2021 12:00,71.2901,76.01,62.05,68.5801,15108904
02/04/2021 11:00,83.28,86,70.5,71.4,10233235
02/04/2021 10:00,95,95.6,81.05,83.39,5445140
02/04/2021 9:00,95,95.6,92,94.93,282231
02/04/2021 8:00,95.53,95.53,92,94.5,206725
02/04/2021 7:00,96.93,97,95,95.13,9214
02/04/2021 6:00,93.6,97,93.6,96.75,21014
02/04/2021 5:00,92.3,100.01,92.3,93.57,62367
02/03/2021 20:00,89.3,89.5,87.37,88.88,185122
02/03/2021 19:00,91.9,91.9,89.5,89.6,70643
02/03/2021 18:00,91.47,92.03,88.95,92,155305
02/03/2021 17:00,92.27,93.36,88.1,90.6,415551
02/03/2021 16:00,98.01,100.3745,90.59,92.0431,3790591
02/03/2021 15:00,107.01,107.7599,93.55,97.94,3877387
02/03/2021 14:00,99.7,109.5983,97.46,107.4999,5796189
02/03/2021 13:00,94,102.71,92.5,99.97,3996782
02/03/2021 12:00,99.0501,99.8799,90.5,93.55,3849656
02/03/2021 11:00,93.2799,104.35,85.25,99.43,8642022
02/03/2021 10:00,93.4,121.36,90.49,92.89,10032597
02/03/2021 9:00,89.82,96.8,85.26,93.35,763436
02/03/2021 8:00,91.11,94.5,85.25,89.86,728011
02/03/2021 7:00,96.3,99.9,90.01,91.44,163660
02/03/2021 6:00,87.35,106,85,96,341188
02/03/2021 5:00,78.33,88.75,73.31,87.2,262868
02/02/2021 20:00,90,90.5,85,85.2,288108
02/02/2021 19:00,92,94,88,90,232127
02/02/2021 18:00,88.82,96,86.01,92,476352
02/02/2021 17:00,90.76,93.89,85.33,88.78,843580
02/02/2021 16:00,99.8561,101.9599,88,90.47,5582379
