,Date,# of Comments,,,,,,,,,,
0,1/26/21,354,,,,,,,,,,
1,1/27/21,704,,,,,,,,,,
2,1/25/21,274,,,,,,,,,,
3,1/22/21,230,,,,,,,,,,
4,1/28/21,836,,,,,,,,,,
5,1/29/21,676,,,,,,,,,,
6,2/2/21,686,,,,,,,,,,
7,2/1/21,929,,,,,,,,,,
8,1/21/21,112,,,,,,,,,,
9,1/19/21,122,,,,,,,,,,
10,12/8/20,62,,,,,,,,,,
11,1/31/21,602,,,,,,,,,,
12,1/30/21,271,,,,,,,,,,
13,12/30/20,56,,,,,,,,,,
14,1/23/21,57,,,,,,,,,,
15,1/13/21,48,,,,,,,,,,
16,1/17/21,52,,,,,,,,,,
17,10/10/20,15,,,,,,,,,,
18,1/24/21,30,,,,,,,,,,
19,1/14/21,31,,,,,,,,,,
20,9/8/20,22,,,,,,,,,,
21,10/8/20,16,,,,,,,,,,
22,1/20/21,38,,,,,,,,,,
,,,,,,final data should look like ,,,,,,
,,,,,,,day,hr,r value,,,
,,,,,,,1,,(a+b)/2,<- avg for day,,
,,,,,,,,1,a,,,day 1 r
,,,,,,,,2,b,,,day 2 r
,,,,,,,2,,(a+b)/3,<- avg for day,,compare day X r to 
,,,,,,,,1,a,,,
,,,,,,,,2,b,,,
,,,,,,,,3,c,,,
,,,,,,,,,,,,
,,,,,,,scipy,,,,,
