,Date,# of Comments
0,01/28/2021 23:00,500
1,01/28/2021 22:00,500
2,01/28/2021 21:00,500
3,01/28/2021 20:00,500
4,01/28/2021 19:00,500
5,01/28/2021 18:00,500
6,01/28/2021 17:00,500
7,01/28/2021 16:00,500
8,01/28/2021 15:00,500
9,01/28/2021 14:00,500
10,01/28/2021 13:00,500
11,01/28/2021 12:00,500
12,01/28/2021 11:00,500
13,01/28/2021 10:00,500
14,01/28/2021 09:00,500
15,01/28/2021 08:00,500
16,01/28/2021 07:00,500
17,01/28/2021 06:00,500
18,01/28/2021 05:00,500
19,01/28/2021 04:00,500
20,01/28/2021 03:00,500
21,01/28/2021 02:00,500
22,01/28/2021 01:00,500
23,01/28/2021 00:00,500
24,01/27/2021 23:00,499
25,01/27/2021 22:00,500
26,01/27/2021 21:00,500
27,01/27/2021 20:00,500
28,01/27/2021 19:00,189
29,01/27/2021 18:00,323
30,01/27/2021 17:00,500
31,01/27/2021 16:00,500
32,01/27/2021 15:00,500
33,01/27/2021 14:00,500
34,01/27/2021 13:00,315
35,01/27/2021 12:00,500
36,01/27/2021 11:00,500
37,01/27/2021 10:00,500
38,01/27/2021 09:00,43
