,Date,# of Comments
0,1/27/21 16:00,63
1,1/27/21 20:00,19
2,1/27/21 18:00,16
3,1/27/21 17:00,39
4,1/28/21 7:00,50
5,1/27/21 21:00,39
6,1/28/21 4:00,43
7,1/28/21 2:00,36
8,1/27/21 23:00,35
9,1/28/21 0:00,36
10,1/28/21 3:00,34
11,1/28/21 5:00,33
12,1/28/21 6:00,38
13,1/27/21 22:00,27
14,1/28/21 1:00,51
15,1/26/21 17:00,47
16,1/26/21 16:00,52
17,1/26/21 15:00,47
18,1/26/21 18:00,24
19,1/26/21 20:00,32
20,1/26/21 19:00,29
21,1/26/21 23:00,37
22,1/26/21 22:00,38
23,1/26/21 21:00,44
24,1/25/21 6:00,14
25,1/25/21 5:00,13
26,1/25/21 12:00,38
27,1/25/21 13:00,32
28,1/25/21 7:00,7
29,1/25/21 8:00,4
30,1/25/21 14:00,13
31,1/25/21 11:00,5
32,1/25/21 15:00,19
33,1/26/21 6:00,21
34,1/26/21 7:00,13
35,1/26/21 8:00,12
36,1/26/21 14:00,56
37,1/26/21 11:00,20
38,1/26/21 13:00,46
39,1/26/21 10:00,18
40,1/26/21 12:00,5
41,1/26/21 9:00,2
42,1/22/21 7:00,7
43,1/22/21 8:00,6
44,1/22/21 9:00,5
45,1/22/21 6:00,8
46,1/22/21 16:00,51
47,1/22/21 14:00,15
48,1/22/21 10:00,12
49,1/22/21 15:00,16
50,1/22/21 11:00,4
51,1/22/21 13:00,24
52,1/22/21 12:00,13
53,1/23/21 5:00,3
54,1/27/21 1:00,37
55,1/27/21 0:00,37
56,1/27/21 2:00,14
57,1/27/21 3:00,7
58,1/27/21 9:00,19
59,1/27/21 6:00,5
60,1/27/21 10:00,29
61,1/27/21 7:00,10
62,1/27/21 11:00,75
63,1/27/21 14:00,89
64,1/27/21 4:00,4
65,1/27/21 8:00,9
66,1/27/21 12:00,59
67,1/27/21 5:00,4
68,1/25/21 17:00,33
69,1/25/21 16:00,28
70,1/25/21 22:00,26
71,1/25/21 18:00,26
72,1/25/21 20:00,26
73,1/25/21 19:00,19
74,1/25/21 21:00,26
75,1/28/21 10:00,109
76,1/28/21 8:00,55
77,1/28/21 9:00,60
78,1/28/21 23:00,44
79,1/29/21 8:00,67
80,1/29/21 0:00,30
81,1/29/21 2:00,50
82,1/29/21 5:00,21
83,1/29/21 3:00,37
84,1/29/21 7:00,26
85,1/29/21 1:00,24
86,1/29/21 6:00,36
87,1/29/21 4:00,21
88,1/29/21 12:00,90
89,1/29/21 9:00,44
90,1/29/21 11:00,71
91,1/29/21 10:00,96
92,1/29/21 13:00,86
93,2/2/21 10:00,117
94,2/2/21 11:00,113
