,Date,# of Comments
0,2/2/2021 23:00,288
1,2/2/2021 22:00,318
2,2/2/2021 21:00,401
3,2/2/2021 20:00,459
4,2/2/2021 19:00,483
5,2/2/2021 18:00,500
6,2/2/2021 17:00,500
7,2/2/2021 16:00,500
8,2/2/2021 15:00,500
9,2/2/2021 14:00,500
10,2/2/2021 13:00,500
11,2/2/2021 12:00,500
12,2/2/2021 11:00,500
13,2/2/2021 10:00,500
14,2/2/2021 9:00,500
15,2/2/2021 8:00,500
16,2/2/2021 7:00,499
17,2/2/2021 6:00,398
18,2/2/2021 5:00,297
19,2/2/2021 4:00,333
20,2/2/2021 3:00,285
21,2/2/2021 2:00,323
22,2/2/2021 1:00,307
23,2/2/2021 0:00,317
24,2/1/2021 23:00,339
25,2/1/2021 22:00,412
26,2/1/2021 21:00,450
27,2/1/2021 20:00,499
28,2/1/2021 19:00,500
29,2/1/2021 18:00,500
30,2/1/2021 17:00,500
31,2/1/2021 16:00,500
32,2/1/2021 15:00,500
33,2/1/2021 14:00,500
34,2/1/2021 13:00,500
35,2/1/2021 12:00,500
36,2/1/2021 11:00,500
37,2/1/2021 10:00,500
38,2/1/2021 9:00,500
39,2/1/2021 8:00,500
40,2/1/2021 7:00,500
41,2/1/2021 6:00,447
42,2/1/2021 5:00,350
43,2/1/2021 4:00,348
44,2/1/2021 3:00,347
45,2/1/2021 2:00,433
46,2/1/2021 1:00,408
47,2/1/2021 0:00,385
48,1/31/2021 23:00,434
49,1/31/2021 22:00,497
50,1/31/2021 21:00,499
51,1/31/2021 20:00,476
52,1/31/2021 19:00,500
53,1/31/2021 18:00,500
54,1/31/2021 17:00,500
55,1/31/2021 16:00,500
56,1/31/2021 15:00,451
57,1/31/2021 14:00,443
58,1/31/2021 13:00,493
59,1/31/2021 12:00,494
60,1/31/2021 11:00,443
61,1/31/2021 10:00,387
62,1/31/2021 9:00,344
63,1/31/2021 8:00,278
64,1/31/2021 7:00,223
65,1/31/2021 6:00,157
66,1/31/2021 5:00,133
67,1/31/2021 4:00,191
68,1/31/2021 3:00,142
69,1/31/2021 2:00,234
70,1/31/2021 1:00,251
71,1/31/2021 0:00,375
72,1/30/2021 23:00,364
73,1/30/2021 22:00,413
74,1/30/2021 21:00,446
75,1/30/2021 20:00,426
76,1/30/2021 19:00,407
77,1/30/2021 18:00,427
78,1/30/2021 17:00,479
79,1/30/2021 16:00,444
80,1/30/2021 15:00,453
81,1/30/2021 14:00,438
82,1/30/2021 13:00,405
83,1/30/2021 12:00,408
84,1/30/2021 11:00,417
85,1/30/2021 10:00,400
86,1/30/2021 9:00,431
87,1/30/2021 8:00,374
88,1/30/2021 7:00,216
89,1/30/2021 6:00,185
90,1/30/2021 5:00,229
91,1/30/2021 4:00,234
92,1/30/2021 3:00,223
93,1/30/2021 2:00,238
94,1/30/2021 1:00,299
95,1/30/2021 0:00,373
96,1/29/2021 23:00,435
97,1/29/2021 22:00,483
98,1/29/2021 21:00,497
99,1/29/2021 20:00,493
100,1/29/2021 19:00,500
101,1/29/2021 18:00,500
102,1/29/2021 17:00,500
103,1/29/2021 16:00,500
104,1/29/2021 15:00,500
105,1/29/2021 14:00,500
106,1/29/2021 13:00,500
107,1/29/2021 12:00,500
108,1/29/2021 11:00,500
109,1/29/2021 10:00,500
110,1/29/2021 9:00,500
111,1/29/2021 8:00,500
112,1/29/2021 7:00,498
113,1/29/2021 6:00,495
114,1/29/2021 5:00,500
115,1/29/2021 4:00,499
116,1/29/2021 3:00,500
117,1/29/2021 2:00,500
118,1/29/2021 1:00,500
119,1/29/2021 0:00,500
120,1/28/2021 23:00,500
121,1/28/2021 22:00,500
122,1/28/2021 21:00,500
123,1/28/2021 20:00,500
124,1/28/2021 19:00,500
125,1/28/2021 18:00,500
126,1/28/2021 17:00,500
127,1/28/2021 16:00,500
128,1/28/2021 15:00,500
129,1/28/2021 14:00,500
130,1/28/2021 13:00,500
131,1/28/2021 12:00,500
132,1/28/2021 11:00,500
133,1/28/2021 10:00,500
134,1/28/2021 9:00,500
135,1/28/2021 8:00,500
136,1/28/2021 7:00,500
137,1/28/2021 6:00,500
138,1/28/2021 5:00,500
139,1/28/2021 4:00,500
140,1/28/2021 3:00,500
141,1/28/2021 2:00,500
142,1/28/2021 1:00,500
143,1/28/2021 0:00,500
144,1/27/2021 23:00,499
145,1/27/2021 22:00,500
146,1/27/2021 21:00,500
147,1/27/2021 20:00,500
148,1/27/2021 19:00,189
149,1/27/2021 18:00,323
150,1/27/2021 17:00,500
151,1/27/2021 16:00,500
152,1/27/2021 15:00,500
153,1/27/2021 14:00,500
154,1/27/2021 13:00,315
155,1/27/2021 12:00,500
156,1/27/2021 11:00,500
157,1/27/2021 10:00,500
158,1/27/2021 9:00,43
159,1/24/2021 6:00,8
160,1/24/2021 5:00,11
161,1/24/2021 4:00,32
162,1/24/2021 3:00,43
163,1/24/2021 2:00,34
164,1/24/2021 1:00,60
165,1/24/2021 0:00,54
166,1/23/2021 23:00,84
167,1/23/2021 22:00,93
168,1/23/2021 21:00,118
169,1/23/2021 20:00,109
170,1/23/2021 19:00,132
171,1/23/2021 18:00,151
172,1/23/2021 17:00,122
173,1/23/2021 16:00,120
174,1/23/2021 15:00,139
175,1/23/2021 14:00,130
176,1/23/2021 13:00,124
177,1/23/2021 12:00,143
178,1/23/2021 11:00,142
179,1/23/2021 10:00,123
