,Date,# of Comments
0,02/02/2021 23:00,288
1,02/02/2021 22:00,318
2,02/02/2021 21:00,401
3,02/02/2021 20:00,459
4,02/02/2021 19:00,483
5,02/02/2021 18:00,500
6,02/02/2021 17:00,500
7,02/02/2021 16:00,500
8,02/02/2021 15:00,500
9,02/02/2021 14:00,500
10,02/02/2021 13:00,500
11,02/02/2021 12:00,500
12,02/02/2021 11:00,500
13,02/02/2021 10:00,500
14,02/02/2021 09:00,500
15,02/02/2021 08:00,500
16,02/02/2021 07:00,499
17,02/02/2021 06:00,398
18,02/02/2021 05:00,297
19,02/02/2021 04:00,333
20,02/02/2021 03:00,285
21,02/02/2021 02:00,323
22,02/02/2021 01:00,307
23,02/02/2021 00:00,317
24,02/01/2021 23:00,339
25,02/01/2021 22:00,412
26,02/01/2021 21:00,450
27,02/01/2021 20:00,499
28,02/01/2021 19:00,500
29,02/01/2021 18:00,500
30,02/01/2021 17:00,500
31,02/01/2021 16:00,500
32,02/01/2021 15:00,500
33,02/01/2021 14:00,500
34,02/01/2021 13:00,500
35,02/01/2021 12:00,500
36,02/01/2021 11:00,500
37,02/01/2021 10:00,500
38,02/01/2021 09:00,500
39,02/01/2021 08:00,500
40,02/01/2021 07:00,500
41,02/01/2021 06:00,447
42,02/01/2021 05:00,350
43,02/01/2021 04:00,348
44,02/01/2021 03:00,347
45,02/01/2021 02:00,433
46,02/01/2021 01:00,408
47,02/01/2021 00:00,385
48,01/31/2021 23:00,434
49,01/31/2021 22:00,497
50,01/31/2021 21:00,499
51,01/31/2021 20:00,476
52,01/31/2021 19:00,500
53,01/31/2021 18:00,500
54,01/31/2021 17:00,500
55,01/31/2021 16:00,500
56,01/31/2021 15:00,451
57,01/31/2021 14:00,443
58,01/31/2021 13:00,493
59,01/31/2021 12:00,494
60,01/31/2021 11:00,443
61,01/31/2021 10:00,387
62,01/31/2021 09:00,344
63,01/31/2021 08:00,278
64,01/31/2021 07:00,223
65,01/31/2021 06:00,157
66,01/31/2021 05:00,133
67,01/31/2021 04:00,191
68,01/31/2021 03:00,142
69,01/31/2021 02:00,234
70,01/31/2021 01:00,251
71,01/31/2021 00:00,375
72,01/30/2021 23:00,364
73,01/30/2021 22:00,413
74,01/30/2021 21:00,446
75,01/30/2021 20:00,426
76,01/30/2021 19:00,407
77,01/30/2021 18:00,427
78,01/30/2021 17:00,479
79,01/30/2021 16:00,444
80,01/30/2021 15:00,453
81,01/30/2021 14:00,438
82,01/30/2021 13:00,405
83,01/30/2021 12:00,408
84,01/30/2021 11:00,417
85,01/30/2021 10:00,400
86,01/30/2021 09:00,431
87,01/30/2021 08:00,374
88,01/30/2021 07:00,216
89,01/30/2021 06:00,185
90,01/30/2021 05:00,229
91,01/30/2021 04:00,234
92,01/30/2021 03:00,223
93,01/30/2021 02:00,238
94,01/30/2021 01:00,299
95,01/30/2021 00:00,373
96,01/29/2021 23:00,435
97,01/29/2021 22:00,483
98,01/29/2021 21:00,497
99,01/29/2021 20:00,493
100,01/29/2021 19:00,500
101,01/29/2021 18:00,500
102,01/29/2021 17:00,500
103,01/29/2021 16:00,500
104,01/29/2021 15:00,500
105,01/29/2021 14:00,500
106,01/29/2021 13:00,500
107,01/29/2021 12:00,500
108,01/29/2021 11:00,500
109,01/29/2021 10:00,500
110,01/29/2021 09:00,500
111,01/29/2021 08:00,500
112,01/29/2021 07:00,498
113,01/29/2021 06:00,495
114,01/29/2021 05:00,500
115,01/29/2021 04:00,499
116,01/29/2021 03:00,500
117,01/29/2021 02:00,500
118,01/29/2021 01:00,500
119,01/29/2021 00:00,500
120,01/28/2021 23:00,500
121,01/28/2021 22:00,500
122,01/28/2021 21:00,500
123,01/28/2021 20:00,500
124,01/28/2021 19:00,500
125,01/28/2021 18:00,500
126,01/28/2021 17:00,500
127,01/28/2021 16:00,500
128,01/28/2021 15:00,500
129,01/28/2021 14:00,500
130,01/28/2021 13:00,500
131,01/28/2021 12:00,500
132,01/28/2021 11:00,500
133,01/28/2021 10:00,500
134,01/28/2021 09:00,500
135,01/28/2021 08:00,500
136,01/28/2021 07:00,500
137,01/28/2021 06:00,500
138,01/28/2021 05:00,500
139,01/28/2021 04:00,500
140,01/28/2021 03:00,500
141,01/28/2021 02:00,500
142,01/28/2021 01:00,500
143,01/28/2021 00:00,500
144,01/27/2021 23:00,499
145,01/27/2021 22:00,500
146,01/27/2021 21:00,500
147,01/27/2021 20:00,500
148,01/27/2021 19:00,189
149,01/27/2021 18:00,323
150,01/27/2021 17:00,500
151,01/27/2021 16:00,500
152,01/27/2021 15:00,500
153,01/27/2021 14:00,500
154,01/27/2021 13:00,315
155,01/27/2021 12:00,500
156,01/27/2021 11:00,500
157,01/27/2021 10:00,500
158,01/27/2021 09:00,43
159,01/24/2021 06:00,8
160,01/24/2021 05:00,11
161,01/24/2021 04:00,32
162,01/24/2021 03:00,43
163,01/24/2021 02:00,34
164,01/24/2021 01:00,60
165,01/24/2021 00:00,54
166,01/23/2021 23:00,84
167,01/23/2021 22:00,93
168,01/23/2021 21:00,118
169,01/23/2021 20:00,109
170,01/23/2021 19:00,132
171,01/23/2021 18:00,151
172,01/23/2021 17:00,122
173,01/23/2021 16:00,120
174,01/23/2021 15:00,139
175,01/23/2021 14:00,130
176,01/23/2021 13:00,124
177,01/23/2021 12:00,143
178,01/23/2021 11:00,142
179,01/23/2021 10:00,123
180,01/23/2021 09:00,116
181,01/23/2021 08:00,88
182,01/23/2021 07:00,65
183,01/23/2021 06:00,68
184,01/23/2021 05:00,87
185,01/23/2021 04:00,64
186,01/23/2021 03:00,60
187,01/23/2021 02:00,83
188,01/23/2021 01:00,132
189,01/23/2021 00:00,179
190,01/22/2021 23:00,180
191,01/22/2021 22:00,173
192,01/22/2021 21:00,174
193,01/22/2021 20:00,205
194,01/22/2021 19:00,226
195,01/22/2021 18:00,262
196,01/22/2021 17:00,330
197,01/22/2021 16:00,465
198,01/22/2021 15:00,425
199,01/22/2021 14:00,420
200,01/22/2021 13:00,500
201,01/22/2021 12:00,500
202,01/22/2021 11:00,468
