,Date,# of Comments
0,02/02/2021 23:00,332
1,02/02/2021 22:00,374
2,02/02/2021 21:00,392
3,02/02/2021 20:00,400
4,02/02/2021 19:00,400
5,02/02/2021 18:00,400
6,02/02/2021 17:00,400
7,02/02/2021 16:00,400
8,02/02/2021 15:00,400
9,02/02/2021 14:00,400
10,02/02/2021 13:00,400
11,02/02/2021 12:00,400
12,02/02/2021 11:00,400
13,02/02/2021 10:00,400
14,02/02/2021 09:00,400
15,02/02/2021 08:00,400
16,02/02/2021 07:00,400
17,02/02/2021 06:00,398
18,02/02/2021 05:00,324
19,02/02/2021 04:00,373
20,02/02/2021 03:00,323
21,02/02/2021 02:00,365
22,02/02/2021 01:00,354
23,02/02/2021 00:00,358
24,02/01/2021 23:00,380
25,02/01/2021 22:00,400
26,02/01/2021 21:00,400
27,02/01/2021 20:00,400
28,02/01/2021 19:00,400
29,02/01/2021 18:00,400
30,02/01/2021 17:00,400
31,02/01/2021 16:00,400
32,02/01/2021 15:00,400
33,02/01/2021 14:00,400
34,02/01/2021 13:00,400
35,02/01/2021 12:00,400
36,02/01/2021 11:00,400
37,02/01/2021 10:00,400
38,02/01/2021 09:00,400
39,02/01/2021 08:00,400
40,02/01/2021 07:00,400
41,02/01/2021 06:00,400
42,02/01/2021 05:00,379
43,02/01/2021 04:00,384
44,02/01/2021 03:00,388
45,02/01/2021 02:00,400
46,02/01/2021 01:00,400
47,02/01/2021 00:00,400
48,01/31/2021 23:00,400
49,01/31/2021 22:00,400
50,01/31/2021 21:00,400
51,01/31/2021 20:00,400
52,01/31/2021 19:00,400
53,01/31/2021 18:00,400
54,01/31/2021 17:00,400
55,01/31/2021 16:00,400
56,01/31/2021 15:00,400
57,01/31/2021 14:00,400
58,01/31/2021 13:00,400
59,01/31/2021 12:00,400
60,01/31/2021 11:00,400
61,01/31/2021 10:00,400
62,01/31/2021 09:00,400
63,01/31/2021 08:00,368
64,01/31/2021 07:00,273
65,01/31/2021 06:00,207
66,01/31/2021 05:00,163
67,01/31/2021 04:00,236
68,01/31/2021 03:00,205
69,01/31/2021 02:00,309
